dolar amerykañski;USD;4.6738;4.7682
dolar australijski;AUD;3.1489;3.2125
dolar kanadyjski;CAD;3.5488;3.6204
euro;EUR;4.67;4.7644
forint (Wêgry);HUF;0.011528;0.01176
frank szwajcarski;CHF;4.8598;4.958
funt szterling;GBP;5.407;5.5162
jen (Japonia);JPY;0.032708;0.033368
korona czeska;CZK;0.1905;0.1943
korona duñska;DKK;0.628;0.6406
korona norweska;NOK;0.4632;0.4726
korona szwedzka;SEK;0.4379;0.4467
SDR (MFW);XDR;5.9977;6.1189
